230913_ORL_GCaMP6f_F1,230913_ORL_GCaMP6f_F2,230914_ORL_GCaMP6f_F1,230914_ORL_GCaMP6f_F2,230915_ORL_GCaMP6f_F1,230913_U52_GCaMP6f_F2,230913_U52_GCaMP6f_F3,230914_U52_GCaMP6f_F1,230914_U52_GCaMP6f_F2,230915_U52_GCaMP6f_F2,230913_FCV_GCaMP6f_F1,230914_FCV_GCaMP6f_F1,230914_FCV_GCaMP6f_F2,230914_FCV_GCaMP6f_F3,230915_FCV_GCaMP6f_F1
-3.189158e-06,0.00045339056,0.0004736109,0.0020603565,-0.00028935663,-0.00026282074,0.00016482119,0.00028253547,0.0016625655,-0.005626184,0.00036137042,0.00084251416,0.002560668,0.004086899,0.0004404768
-0.00026656064,0.00041074507,0.00027497535,0.0017564261,-0.0007818226,-0.0004912285,-0.00015395872,0.00019378198,0.0011635249,-0.0054902774,0.00048670408,0.00023405324,0.002478897,0.003749675,0.00030693418
-0.00031847533,0.0008024342,0.00014801933,0.0013351069,-0.00042986966,-0.0006532856,-0.00042587402,8.4987616e-05,0.0005668585,-0.0058367397,0.00016837897,-0.00042938077,0.0020788952,0.0031448195,-2.7459024e-05
-0.00022294742,0.00073389814,-0.00020305158,0.00088598364,-0.00030162805,-0.00033421873,-0.00070883404,9.290284e-05,0.00017607842,-0.005967724,0.00017063232,-0.0006379854,0.001325248,0.0028375508,-0.00062237756
3.365816e-06,0.00071177527,-0.00030454202,0.00090785255,-0.00062990136,-0.00028910633,-0.0005378893,-0.00012557422,-0.00016644888,-0.006416483,9.444859e-05,-0.0015304227,0.0013255003,0.0026931989,-0.0006027257
-0.00012962605,0.0010184116,-0.00063937873,0.0008606223,-0.00050832133,-0.00022639589,-0.00096538063,-0.0005974445,-0.0009869584,-0.0061240722,0.00014777282,-0.00085218105,0.0012205685,0.0036506744,-0.0010077318
2.3956687e-05,0.0012292059,-0.0002307153,0.0010797234,-0.00033073814,-0.00014759655,-0.0009780421,-0.0006327205,-0.0011424844,-0.005916004,0.000120581855,-0.0012262971,0.0011864164,0.002525181,-0.0013202735
0.00024682313,0.0008794168,-0.0008203751,9.76764e-05,-0.000105703344,-0.00019775027,-0.0011663367,-0.00050485117,-0.001361489,-0.0057462575,4.336476e-05,-0.0005052998,0.0011771766,0.0021011832,-0.0012295367
0.00017735087,0.00092627615,-0.0007737233,0.00019295888,-0.00066019804,-0.00017499669,-0.0011040678,-0.0005494606,-0.0018133991,-0.005425031,0.00014608489,-0.00033556134,0.0010597463,0.0019234624,-0.00088742306
-2.672999e-05,0.001511106,-0.00027725584,0.00026993395,-0.00069486344,-0.0004522259,-0.0010501611,-0.00061643164,-0.0015013254,-0.0052364813,6.417668e-05,-0.000833496,0.0011841644,0.0017763667,-0.0013202364
-3.6108122e-05,0.0014469884,-0.00013710535,0.00065059995,-0.00079092954,-0.0001854854,-0.0011340401,-0.00026707054,-0.0013328783,-0.0053401035,-3.2438368e-06,-0.0006870494,0.0009298234,0.0016399436,-0.0014491689
-0.00017369332,0.00086652493,4.9225673e-05,0.00049993495,-0.0004027427,6.9011858e-06,-0.0012218365,-0.0005280368,-0.0013267025,-0.0051361998,7.0177734e-06,-0.00090706727,0.00092993537,0.0016736852,-0.0012273864
0.00012349052,0.0012086655,-4.047675e-05,0.00039685346,-0.00024340075,6.5511835e-05,-0.0013521623,-0.00028017984,-0.0015420194,-0.0052210833,-0.00016751759,-0.0014477543,0.0009825143,0.0011021085,-0.0012714681
9.906964e-06,0.0011245875,-1.4355715e-05,0.0005469655,-4.1962976e-05,0.00016455223,-0.0014118594,-0.00014719814,-0.0016301663,-0.0049954737,-3.5143068e-05,-0.0013102324,0.00093733415,0.0010145401,-0.0015969574
0.00023176063,0.0009949828,5.793501e-05,0.0003097498,-0.00028749014,-8.7538916e-05,-0.0014343493,0.00010962013,-0.0021973336,-0.004805611,-0.00026234626,-0.0012728766,0.00065591437,0.0011260249,-0.0012219247
0.00022307658,0.0012097927,-0.00023289894,0.00011057251,-0.00043045756,9.980395e-05,-0.0014354226,8.090831e-06,-0.0022959604,-0.0046273465,-0.00013155665,-0.0011256543,0.0008471138,0.00087574666,-0.0011989966
0.00027177992,0.0012158351,2.117051e-05,0.00022320302,-0.00035608668,2.7554102e-05,-0.0012244511,-0.0006840722,-0.0024387762,-0.0052476735,5.373204e-05,-0.0005914084,0.00028664782,0.0008293416,-0.001178979
0.00039199516,0.0011031876,-0.0002483779,-8.3109764e-05,-0.00019387029,-0.00016807999,-0.0011343404,-0.0005439654,-0.0019315359,-0.0048505887,-8.260796e-05,-0.0009210079,0.0007194725,0.0007014157,-0.0015177886
0.00024497035,0.0007624239,-3.9012415e-05,-0.00031680943,-9.558212e-05,-2.3178525e-05,-0.0013150466,-0.00031975267,-0.0017587943,-0.005046021,0.00014690819,-0.0004259285,0.00042424892,0.00050719694,-0.0014107754
