samp,subpop,trial,odor,value,odor_order,value_detrended
230914_FCV_GCaMP6f_F3,FCV,1,octanal4.58,0.010383213,6,0.011217110855354973
230914_FCV_GCaMP6f_F3,FCV,2,octanal4.58,0.0054988423,42,0.009443130813765998
230915_FCV_GCaMP6f_F1,FCV,1,octanal4.58,0.007177688,6,0.007871332214166523
230915_FCV_GCaMP6f_F1,FCV,2,octanal4.58,0.0038848463,42,0.007410022091535881
230913_ORL_GCaMP6f_F1,ORL,1,octanal4.09,0.0004984657,7,0.0005207576553282515
230913_ORL_GCaMP6f_F1,ORL,2,octanal4.09,0.00054245454,43,0.0007097084732564437
230913_ORL_GCaMP6f_F2,ORL,1,octanal4.09,0.0022656817,7,0.0023006419322102365
230913_ORL_GCaMP6f_F2,ORL,2,octanal4.09,0.0023825725,43,0.00261756183273147
230914_ORL_GCaMP6f_F1,ORL,1,octanal4.09,0.008025977,7,0.007976968133744333
230914_ORL_GCaMP6f_F1,ORL,2,octanal4.09,0.008155728,43,0.007854569799458077
230914_ORL_GCaMP6f_F2,ORL,1,octanal4.09,0.0040924544,7,0.004322493297070866
230914_ORL_GCaMP6f_F2,ORL,2,octanal4.09,0.0042849085,43,0.005995664941024725
230915_ORL_GCaMP6f_F1,ORL,1,octanal4.09,0.0016322971,7,0.001751418071802204
230915_ORL_GCaMP6f_F1,ORL,2,octanal4.09,0.00082803116,43,0.0012763226424504612
230913_U52_GCaMP6f_F2,U52,1,octanal4.09,0.0038673459,7,0.00462109161649424
230913_U52_GCaMP6f_F2,U52,2,octanal4.09,0.000867294,43,0.00258942343940794
230913_U52_GCaMP6f_F3,U52,1,octanal4.09,0.0054176054,7,0.005757287304576436
230913_U52_GCaMP6f_F3,U52,2,octanal4.09,0.0024946232,43,0.00362444145753292
230914_U52_GCaMP6f_F1,U52,1,octanal4.09,0.007957665,7,0.009364122346010062
230914_U52_GCaMP6f_F1,U52,2,octanal4.09,0.0032357941,43,0.008793601627435187
230914_U52_GCaMP6f_F2,U52,1,octanal4.09,0.0027731778,7,0.0032519144448298993
230914_U52_GCaMP6f_F2,U52,2,octanal4.09,0.0009432385,43,0.0025088234240831933
230915_U52_GCaMP6f_F2,U52,1,octanal4.09,0.0025184902,7,0.0027105717621765
230915_U52_GCaMP6f_F2,U52,2,octanal4.09,0.0031832634,43,0.00499984492521851
230914_FCV_GCaMP6f_F1,FCV,1,octanal4.09,0.006330096,7,0.0070802937851177595
230914_FCV_GCaMP6f_F1,FCV,2,octanal4.09,0.0039114715,43,0.007782780350743204
230914_FCV_GCaMP6f_F2,FCV,1,octanal4.09,0.0056759585,7,0.006457885535857737
230914_FCV_GCaMP6f_F2,FCV,2,octanal4.09,0.0020924616,43,0.004623507757883827
230914_FCV_GCaMP6f_F3,FCV,1,octanal4.09,0.0069395425,7,0.00759401813712071
230914_FCV_GCaMP6f_F3,FCV,2,octanal4.09,0.0028889833,43,0.005025523566825078
230915_FCV_GCaMP6f_F1,FCV,1,octanal4.09,0.003528634,7,0.003929592878330619
230915_FCV_GCaMP6f_F1,FCV,2,octanal4.09,0.0019983365,43,0.0038707182512678503
230913_ORL_GCaMP6f_F1,ORL,1,octanal3.525,0.0004203851,8,0.00044193870497714443
230913_ORL_GCaMP6f_F1,ORL,2,octanal3.525,0.00039569018,44,0.0005209382597138905
230913_ORL_GCaMP6f_F2,ORL,1,octanal3.525,0.0009954772,8,0.0010130513765393783
230913_ORL_GCaMP6f_F2,ORL,2,octanal3.525,0.0027474328,44,0.003025017717219733
