sample	subpop	trial	odor	peak_value
230913_ORL_GCaMP6f_F2	ORL	1	octanal3.525	0.0009954772
230913_ORL_GCaMP6f_F2	ORL	2	octanal3.525	0.0027474328
230914_ORL_GCaMP6f_F1	ORL	1	octanal3.525	0.0024303875
230914_ORL_GCaMP6f_F1	ORL	2	octanal3.525	0.0042376514
230914_ORL_GCaMP6f_F2	ORL	1	octanal3.525	0.001754487
230914_ORL_GCaMP6f_F2	ORL	2	octanal3.525	0.0013852275
230915_ORL_GCaMP6f_F1	ORL	1	octanal3.525	0.0007479962
230915_ORL_GCaMP6f_F1	ORL	2	octanal3.525	0.00090518367
230913_U52_GCaMP6f_F2	U52	1	octanal3.525	0.0011543302
230913_U52_GCaMP6f_F2	U52	2	octanal3.525	0.0007135297
230913_U52_GCaMP6f_F3	U52	1	octanal3.525	0.0023081028
230913_U52_GCaMP6f_F3	U52	2	octanal3.525	0.0009753337
230914_U52_GCaMP6f_F1	U52	1	octanal3.525	0.003656233
230914_U52_GCaMP6f_F1	U52	2	octanal3.525	0.001477886
230914_U52_GCaMP6f_F2	U52	1	octanal3.525	0.0028606555
230914_U52_GCaMP6f_F2	U52	2	octanal3.525	0.0010589843
230915_U52_GCaMP6f_F2	U52	1	octanal3.525	0.0013786872
230915_U52_GCaMP6f_F2	U52	2	octanal3.525	0.001393703
230913_FCV_GCaMP6f_F1	FCV	1	octanal3.525	0.0005886127
230913_FCV_GCaMP6f_F1	FCV	2	octanal3.525	0.00020861464
230914_FCV_GCaMP6f_F1	FCV	1	octanal3.525	0.004020748
230914_FCV_GCaMP6f_F1	FCV	2	octanal3.525	0.0015687881
230914_FCV_GCaMP6f_F2	FCV	1	octanal3.525	0.0034762158
230914_FCV_GCaMP6f_F2	FCV	2	octanal3.525	0.001239173
230914_FCV_GCaMP6f_F3	FCV	1	octanal3.525	0.00367742
230914_FCV_GCaMP6f_F3	FCV	2	octanal3.525	0.0011463837
230915_FCV_GCaMP6f_F1	FCV	1	octanal3.525	0.0042901197
230915_FCV_GCaMP6f_F1	FCV	2	octanal3.525	0.00061427185
230913_ORL_GCaMP6f_F1	ORL	1	octanal3.09	0.00032635845
230913_ORL_GCaMP6f_F1	ORL	2	octanal3.09	0.0012335414
230913_ORL_GCaMP6f_F2	ORL	1	octanal3.09	0.0009619177
230913_ORL_GCaMP6f_F2	ORL	2	octanal3.09	0.0011522111
230914_ORL_GCaMP6f_F1	ORL	1	octanal3.09	0.0023265649
230914_ORL_GCaMP6f_F1	ORL	2	octanal3.09	0.0037189038
230914_ORL_GCaMP6f_F2	ORL	1	octanal3.09	0.0017034181
